id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
10728018,Female,25,1,41.0,1,< 1 Year,No,24783.0,152.0,260,0
6350115,Male,49,1,7.0,0,1-2 Year,Yes,27258.0,4.0,123,0
10726285,Male,46,1,1.0,0,1-2 Year,Yes,2630.0,156.0,30,0
3831797,Male,51,1,28.0,0,1-2 Year,Yes,43505.0,124.0,208,0
3810753,Female,28,1,33.0,1,< 1 Year,No,2630.0,152.0,39,0
10357955,Male,22,1,33.0,1,< 1 Year,No,58870.0,152.0,135,0
3505346,Male,30,1,29.0,0,1-2 Year,Yes,2630.0,156.0,178,0
8933382,Male,30,1,23.0,0,1-2 Year,Yes,2630.0,163.0,153,0
4587272,Female,60,1,14.0,0,1-2 Year,Yes,37425.0,26.0,103,0
10186139,Male,29,1,27.0,1,< 1 Year,No,31422.0,152.0,118,0
3408990,Male,63,1,41.0,1,1-2 Year,No,38524.0,12.0,74,0
1973778,Female,49,1,1.0,0,1-2 Year,Yes,2630.0,124.0,86,0
9139027,Male,31,1,45.0,1,< 1 Year,No,29346.0,152.0,10,0
9160040,Male,25,1,3.0,0,< 1 Year,Yes,2630.0,152.0,135,0
4159306,Male,29,1,50.0,1,< 1 Year,No,35154.0,152.0,281,0
8560054,Male,47,1,35.0,0,< 1 Year,Yes,27860.0,88.0,281,0
6628165,Female,25,1,19.0,1,< 1 Year,No,2630.0,152.0,36,0
2915341,Male,46,1,29.0,1,1-2 Year,No,2630.0,26.0,175,0
7755235,Male,46,1,28.0,0,1-2 Year,Yes,35127.0,124.0,187,0
2528888,Male,33,1,29.0,1,< 1 Year,No,2630.0,152.0,242,0
3271931,Female,61,1,18.0,0,1-2 Year,Yes,28332.0,26.0,193,0
53771,Female,22,1,33.0,1,< 1 Year,No,36419.0,152.0,263,0
9543273,Male,39,1,45.0,0,1-2 Year,Yes,2630.0,156.0,272,0
9973556,Male,25,1,10.0,1,< 1 Year,No,25983.0,152.0,93,0
5326749,Male,53,1,47.0,0,1-2 Year,Yes,2630.0,26.0,144,0
23964,Female,35,1,28.0,1,1-2 Year,No,37567.0,124.0,128,0
7975511,Female,75,1,25.0,1,1-2 Year,No,25600.0,124.0,105,0
6892800,Female,55,1,28.0,0,1-2 Year,Yes,44696.0,124.0,188,0
10631985,Female,44,1,8.0,0,1-2 Year,Yes,56593.0,26.0,249,0
9028799,Female,29,1,30.0,1,< 1 Year,No,24588.0,152.0,228,0
2237191,Male,40,1,19.0,0,1-2 Year,Yes,2630.0,124.0,72,0
4375359,Female,21,1,46.0,1,< 1 Year,No,31675.0,152.0,155,0
3820430,Female,38,1,41.0,1,1-2 Year,No,26307.0,152.0,136,0
9124877,Female,21,1,2.0,0,< 1 Year,Yes,25411.0,152.0,177,0
7591263,Female,25,1,25.0,0,< 1 Year,Yes,45424.0,152.0,19,0
8840797,Female,24,1,30.0,0,< 1 Year,No,34346.0,152.0,206,0
9173088,Female,24,1,12.0,1,< 1 Year,No,35345.0,152.0,256,0
6011038,Female,41,1,28.0,1,1-2 Year,No,68475.0,125.0,218,0
4818665,Male,60,1,28.0,0,1-2 Year,No,46786.0,26.0,21,0
1430890,Female,21,1,35.0,1,< 1 Year,No,47712.0,152.0,109,0
8583892,Female,20,1,46.0,1,< 1 Year,No,24870.0,160.0,76,0
1052554,Male,49,1,28.0,0,1-2 Year,Yes,36273.0,26.0,158,0
8035833,Female,24,1,18.0,1,< 1 Year,No,2630.0,152.0,109,0
5615161,Female,24,1,39.0,0,< 1 Year,Yes,24473.0,152.0,249,0
4358662,Female,25,1,14.0,1,< 1 Year,No,29961.0,152.0,27,0
6989159,Male,22,1,8.0,1,< 1 Year,No,34596.0,152.0,228,0
2703669,Male,51,1,8.0,0,1-2 Year,Yes,38653.0,124.0,90,0
6788031,Male,23,1,30.0,1,< 1 Year,No,29123.0,152.0,153,0
10985965,Female,24,1,29.0,1,< 1 Year,No,24159.0,152.0,202,0
10709043,Male,41,1,39.0,0,1-2 Year,Yes,2630.0,163.0,232,0
10189823,Female,68,1,1.0,0,> 2 Years,Yes,2630.0,124.0,232,0
5064687,Male,31,1,21.0,0,< 1 Year,No,37687.0,152.0,233,0
10254611,Male,25,1,41.0,1,< 1 Year,No,31594.0,152.0,164,0
7999310,Male,32,1,3.0,0,1-2 Year,Yes,33520.0,157.0,63,0
6921252,Male,25,1,8.0,0,< 1 Year,Yes,40498.0,152.0,21,0
9578520,Male,20,1,47.0,0,< 1 Year,Yes,30207.0,160.0,83,0
1037439,Female,25,1,8.0,1,< 1 Year,No,2630.0,160.0,186,0
118960,Female,55,1,6.0,0,1-2 Year,No,40193.0,26.0,171,0
8286141,Female,22,1,8.0,1,< 1 Year,No,33922.0,152.0,101,0
10072427,Male,20,1,13.0,1,< 1 Year,No,38378.0,160.0,297,0
2812775,Female,25,1,30.0,1,< 1 Year,No,48904.0,152.0,38,0
8407492,Female,44,1,28.0,1,1-2 Year,No,35660.0,26.0,208,0
6945601,Male,23,1,2.0,1,< 1 Year,Yes,30184.0,151.0,193,0
11040761,Male,37,1,46.0,1,1-2 Year,No,34304.0,124.0,249,0
6627903,Female,22,1,28.0,0,< 1 Year,Yes,39744.0,122.0,170,0
1529732,Male,51,1,28.0,0,1-2 Year,Yes,47416.0,124.0,204,0
5701408,Male,22,1,28.0,1,< 1 Year,No,37278.0,152.0,178,0
10718149,Female,63,1,28.0,0,> 2 Years,Yes,33184.0,122.0,28,0
7203141,Male,53,1,46.0,0,1-2 Year,Yes,24363.0,93.0,80,0
7240951,Female,64,1,46.0,0,1-2 Year,Yes,24805.0,11.0,136,0
348412,Male,25,1,11.0,0,< 1 Year,Yes,45180.0,152.0,215,0
10520821,Male,22,1,28.0,1,< 1 Year,No,29454.0,152.0,141,0
6896736,Male,25,1,11.0,1,< 1 Year,No,51452.0,152.0,165,0
6110613,Male,50,1,28.0,1,1-2 Year,No,30883.0,26.0,141,0
9874896,Male,27,1,3.0,1,< 1 Year,No,25211.0,152.0,147,0
8107590,Male,51,1,28.0,0,1-2 Year,Yes,40863.0,26.0,240,0
3457631,Female,44,1,28.0,0,1-2 Year,Yes,24155.0,60.0,268,0
6392311,Male,52,1,46.0,0,1-2 Year,Yes,27124.0,124.0,208,0
8466153,Female,26,1,28.0,1,< 1 Year,No,43592.0,152.0,259,0
4442119,Male,55,1,13.0,0,1-2 Year,Yes,27978.0,124.0,170,0
3678624,Female,57,1,19.0,0,1-2 Year,Yes,31612.0,26.0,112,0
1171477,Female,27,1,23.0,1,< 1 Year,No,40329.0,152.0,111,0
4915330,Male,24,1,11.0,0,< 1 Year,Yes,45624.0,152.0,146,0
1437738,Male,46,1,28.0,0,> 2 Years,Yes,39109.0,124.0,288,0
11294789,Female,24,1,29.0,0,< 1 Year,Yes,2630.0,156.0,79,0
2583968,Female,24,1,30.0,1,< 1 Year,No,26875.0,152.0,239,0
8340969,Male,77,1,28.0,0,1-2 Year,Yes,45687.0,122.0,267,0
1161521,Male,47,1,11.0,1,1-2 Year,No,27365.0,124.0,208,0
912462,Male,43,1,28.0,0,1-2 Year,Yes,35114.0,124.0,263,0
10000037,Female,23,1,29.0,1,< 1 Year,No,39780.0,152.0,144,0
2137077,Female,32,1,41.0,1,< 1 Year,No,29160.0,152.0,191,0
5519892,Male,52,1,10.0,0,> 2 Years,Yes,37453.0,26.0,198,0
8558640,Female,25,1,15.0,0,< 1 Year,Yes,30463.0,152.0,279,0
9117584,Female,27,1,29.0,1,< 1 Year,No,2630.0,152.0,189,0
8961501,Male,53,1,28.0,0,> 2 Years,Yes,45708.0,26.0,227,0
1790955,Female,34,1,12.0,0,1-2 Year,Yes,2630.0,152.0,201,0
10955567,Male,47,1,15.0,0,1-2 Year,Yes,25198.0,152.0,192,0
11089817,Male,71,1,28.0,0,1-2 Year,Yes,30862.0,154.0,147,0
1025292,Female,30,1,36.0,1,< 1 Year,No,36353.0,152.0,94,0
2863086,Female,22,1,47.0,0,< 1 Year,Yes,34642.0,152.0,244,0
